pm2.5,pm10,so2,no2,co,dewp,wspm,label
251.0,282.0,182.0,116.0,3299.0,-0.7,0.6,5.0
228.0,255.0,166.0,135.0,3200.0,-1.6,1.2,5.0
217.0,255.0,169.0,171.0,4000.0,-1.6,1.7,4.0
255.0,311.0,154.0,201.0,4000.0,-3.1,3.7,5.0
258.0,283.0,111.0,226.0,3700.0,-3.2,3.1,5.0
277.0,284.0,102.0,167.0,2899.0,-3.2,3.6,5.0
282.0,326.0,79.0,130.0,2399.0,-1.8,3.3,5.0
267.0,310.0,62.0,97.0,1899.0,-0.9,1.9,5.0
216.0,257.0,64.0,86.0,1600.0,-1.7,1.4,4.0
201.0,255.0,76.0,125.0,1899.0,-2.5,1.9,4.0
211.0,287.0,79.0,173.0,2399.0,-2.6,1.5,4.0
227.0,298.0,99.0,207.0,3399.0,-2.1,1.5,5.0
282.0,377.0,114.0,213.0,4000.0,-1.3,1.4,5.0
363.0,452.0,126.0,210.0,4000.0,-1.2,1.3,5.0
376.0,426.0,128.0,209.0,3799.0,-0.9,0.1,5.0
344.0,389.0,107.0,195.0,3799.0,-1.3,0.0,5.0
339.0,370.0,90.0,177.0,4099.0,-1.7,0.9,5.0
339.0,400.0,90.0,162.0,3899.0,-1.9,0.8,5.0
324.0,373.0,71.0,154.0,3899.0,-1.8,0.0,5.0
322.0,345.0,62.0,154.0,3299.0,-1.8,1.0,5.0
315.0,346.0,47.0,144.0,3200.0,-1.5,0.8,5.0
310.0,327.0,45.0,146.0,3299.0,-1.8,0.8,5.0
309.0,318.0,44.0,145.0,4099.0,0.5,1.0,5.0
310.0,337.0,88.0,137.0,4900.0,1.4,0.7,5.0
326.0,371.0,144.0,149.0,5200.0,-0.4,1.0,5.0
326.0,844.0,125.9496,179.2269,5200.0,-0.4,1.9,5.0
219.0,362.0,83.0,160.0,3100.0,-3.3,4.4,4.0
104.0,194.0,37.0,101.0,1399.0,-2.3,3.0,3.0
121.0,225.0,40.0,96.0,1300.0,-2.3,3.3,3.0
184.0,348.0,49.0,104.0,1800.0,1.4,4.5,4.0
330.0,508.0,102.0,139.0,3600.0,1.2,2.7,5.0
172.0,284.0,84.0,84.0,1700.0,0.0,2.6,4.0
114.0,181.0,68.0,68.0,1100.0,-0.5,2.8,3.0
82.0,128.0,55.0,63.0,900.0,-0.9,1.4,3.0
84.0,123.0,46.0,73.0,1100.0,-0.3,0.8,3.0
91.0,104.0,48.0,65.0,1000.0,-1.6,1.4,3.0
81.0,87.0,43.0,61.0,1100.0,-1.5,1.6,3.0
90.0,102.0,45.0,68.0,1399.0,-3.4,0.9,3.0
79.0,85.0,53.0,63.0,1500.0,-3.4,1.0,3.0
49.0,67.0,53.0,70.0,1600.0,-2.6,0.6,2.0
89.0,91.0,54.0,84.0,1899.0,-2.6,1.1,3.0
89.0,97.0,44.0,97.0,2299.0,-3.1,0.0,3.0
98.0,125.0,42.0,94.0,2299.0,-3.2,1.4,3.0
97.0,118.0,52.0,97.0,2399.0,-2.3,0.0,3.0
102.0,123.0,52.0,93.0,2500.0,-2.8,1.3,3.0
110.0,153.0,44.0,83.0,2600.0,-2.5,1.0,3.0
108.0,143.0,51.0,85.0,2100.0,-2.1,1.8,3.0
104.0,139.0,70.0,82.0,2100.0,-1.7,2.6,3.0
113.0,166.0,108.0,86.0,1899.0,-0.4,3.3,3.0
145.0,272.0,122.0,86.0,2200.0,-4.6,7.7,4.0
69.0,587.0,50.0,21.0,400.0,-9.1,7.4,5.0
78.0,587.0,10.0,10.0,300.0,-14.4,7.9,5.0
49.0,628.0,4.0,7.0,300.0,-17.0,7.2,5.0
47.0,662.0,3.0,6.0,300.0,-16.8,6.7,5.0
28.0,443.0,3.0,8.0,300.0,-17.1,3.9,5.0
21.0,263.0,3.0,9.0,300.0,-17.8,4.8,3.0
14.0,251.0,4.0,9.0,300.0,-18.3,4.8,2.0
17.0,205.0,4.0,10.0,300.0,-19.3,4.8,2.0
15.0,107.0,5.0,10.0,400.0,-18.4,3.5,1.0
18.0,104.0,4.0,7.0,400.0,-18.3,4.5,1.0
12.0,58.0,4.0,8.0,400.0,-17.6,3.3,1.0
11.0,34.0,6.0,8.0,300.0,-17.8,1.2,1.0
6.0,19.0,8.0,10.0,400.0,-14.1,0.6,0.0
11.0,15.0,6.0,16.0,400.0,-13.4,0.0,1.0
11.0,16.0,10.0,25.0,400.0,-11.6,1.0,1.0
6.0,18.0,14.0,41.0,400.0,-11.7,0.7,0.0
10.0,25.0,17.0,55.0,500.0,-11.8,1.2,1.0
18.0,63.0,17.0,76.0,500.0,-14.8,0.0,1.0
21.0,35.0,18.0,80.0,700.0,-10.9,1.7,1.0
18.0,21.0,21.0,73.0,800.0,-11.8,0.0,1.0
24.0,46.0,21.0,82.0,1500.0,-14.7,2.3,1.0
31.0,74.0,33.0,84.0,1300.0,-15.9,4.6,1.0
26.0,75.0,34.0,69.0,900.0,-15.9,5.2,1.0
27.0,63.0,28.0,55.0,700.0,-14.7,4.6,1.0
30.0,59.0,20.0,40.0,800.0,-14.2,2.7,1.0
28.0,56.0,21.0,34.0,700.0,-14.4,0.4,1.0
34.0,52.0,20.0,30.0,600.0,-13.8,2.8,1.0
28.0,54.0,17.0,28.0,500.0,-13.6,4.0,1.0
37.0,71.0,17.0,27.0,500.0,-14.5,4.5,2.0
36.0,94.0,18.0,26.0,500.0,-13.7,4.1,2.0
38.0,117.0,25.0,33.0,500.0,-13.4,4.4,2.0
44.0,106.0,27.0,34.0,600.0,-12.3,2.6,2.0
60.0,102.0,28.0,39.0,700.0,-11.1,2.3,3.0
70.0,115.0,33.0,61.0,800.0,-10.9,3.5,3.0
64.0,114.0,28.0,62.0,800.0,-10.3,2.7,3.0
70.0,123.0,31.0,60.0,900.0,-10.0,2.4,3.0
81.0,140.0,46.0,62.0,1000.0,-9.0,0.9,3.0
90.0,147.0,55.0,69.0,1100.0,-8.7,1.4,3.0
95.0,156.0,57.0,78.0,1100.0,-7.3,0.7,3.0
95.0,140.0,53.0,76.0,1100.0,-7.0,0.5,3.0
96.0,138.0,56.0,78.0,1100.0,-6.5,0.6,3.0
97.0,140.0,55.0,80.0,1100.0,-7.9,1.1,3.0
106.0,146.0,49.0,76.0,1200.0,-8.0,0.1,3.0
114.0,147.0,40.0,76.0,1600.0,-8.0,0.9,3.0
112.0,155.0,62.0,77.0,2100.0,-8.3,1.9,3.0
113.0,184.0,71.0,77.0,2600.0,-8.6,1.8,3.0
120.0,196.0,96.0,89.0,2500.0,-8.2,1.8,3.0
141.0,205.0,102.0,97.0,2500.0,-8.1,1.4,4.0
140.0,198.0,96.0,105.0,2299.0,-8.1,1.3,4.0
149.0,207.0,99.0,118.0,2200.0,-7.5,1.6,4.0
150.0,189.0,114.0,124.0,2100.0,-7.1,3.5,4.0
114.0,151.0,99.0,80.0,1100.0,-7.5,2.5,3.0
106.0,133.0,96.0,69.0,1000.0,-6.2,2.1,3.0
113.0,162.0,109.0,76.0,1100.0,-6.5,3.4,3.0
132.0,198.0,148.0,90.0,1700.0,-5.8,2.1,4.0
149.0,253.0,161.0,100.0,2100.0,-5.1,2.0,4.0
144.0,233.0,90.0,98.0,1500.0,-4.4,1.5,4.0
156.0,214.0,103.0,116.0,1899.0,-2.8,1.3,4.0
174.0,246.0,124.0,121.0,2200.0,-2.7,1.5,4.0
152.0,196.0,88.0,109.0,1600.0,-4.0,1.5,4.0
113.0,145.0,62.0,97.0,1300.0,-4.6,1.1,3.0
89.0,124.0,50.0,80.0,1100.0,-2.8,1.0,3.0
106.0,161.0,56.0,91.0,1600.0,-2.8,0.0,3.0
125.0,159.0,56.0,86.0,1899.0,-1.0,0.2,3.0
117.0,127.0,73.0,81.0,1899.0,-1.0,2.2,3.0
112.0,140.0,68.0,81.0,1399.0,1.5,0.9,3.0
140.0,237.0,34.0,74.0,2100.0,1.5,1.3,4.0
146.0,165.0,22.0,66.0,2100.0,2.6,1.0,4.0
115.0,121.0,21.0,77.0,2100.0,2.2,1.4,3.0
120.0,122.0,17.0,78.0,1600.0,1.9,1.5,3.0
116.0,90.0,16.0,76.0,1600.0,2.2,1.3,3.0
123.0,94.0,16.0,71.0,1700.0,2.2,0.9,3.0
130.0,104.0,16.0,69.0,1800.0,2.6,1.4,4.0
132.0,87.0,14.0,75.0,1600.0,2.2,1.5,4.0
129.0,84.0,15.0,68.0,1500.0,2.8,1.8,4.0
139.0,102.0,15.0,67.0,1600.0,2.9,1.6,4.0
135.0,93.0,15.0,63.0,1600.0,3.2,1.5,4.0
133.0,102.0,17.0,63.0,1500.0,3.2,0.6,4.0
141.0,107.0,19.0,70.0,1600.0,3.4,1.4,4.0
124.0,131.0,21.0,79.0,1800.0,3.1,0.4,3.0
137.0,140.0,20.0,75.0,2000.0,2.1,0.5,4.0
160.0,140.0,17.0,74.0,1800.0,2.2,0.7,4.0
140.0,101.0,16.0,68.0,1700.0,2.6,0.8,4.0
88.0,31.0,16.0,63.0,1100.0,1.3,1.2,3.0
50.0,50.0,30.0,54.0,800.0,-5.7,0.9,2.0
22.0,22.0,28.0,21.0,400.0,-7.1,0.9,1.0
10.0,10.0,16.0,14.0,300.0,-9.0,2.1,1.0
10.0,10.0,12.0,16.0,300.0,-8.9,2.4,1.0
7.0,7.0,11.0,15.0,300.0,-8.6,1.3,0.0
11.0,11.0,11.0,16.0,400.0,-7.5,0.9,1.0
3.0,6.0,13.0,20.0,400.0,-8.1,0.9,0.0
3.0,6.0,17.0,24.0,500.0,-8.5,1.6,0.0
3.0,8.0,21.0,40.0,600.0,-10.0,2.9,0.0
8.0,18.0,35.0,62.0,700.0,-13.6,3.3,0.0
20.0,24.0,27.0,43.0,600.0,-10.7,3.9,1.0
16.0,25.0,22.0,32.0,500.0,-11.3,2.6,1.0
14.0,6.0,14.0,26.0,400.0,-12.6,3.6,1.0
12.0,6.0,10.0,19.0,400.0,-11.7,3.5,1.0
17.0,6.0,11.0,24.0,400.0,-13.2,2.3,1.0
15.0,6.0,10.0,19.0,400.0,-14.4,1.6,1.0
3.0,9.0,11.0,24.0,400.0,-13.5,2.0,0.0
3.0,6.0,11.0,26.0,400.0,-12.1,1.8,0.0
3.0,11.0,12.0,37.0,500.0,-10.7,2.7,0.0
23.0,38.0,12.0,52.0,600.0,-9.0,2.5,1.0
31.0,59.0,15.0,64.0,700.0,-8.8,1.5,1.0
37.0,47.0,16.0,64.0,700.0,-9.6,2.9,2.0
35.0,39.0,16.0,67.0,700.0,-8.7,3.2,1.0
37.0,39.0,18.0,67.0,700.0,-8.1,3.2,2.0
42.0,45.0,21.0,74.0,800.0,-5.5,2.3,2.0
62.0,113.0,19.0,71.0,1100.0,-3.8,2.4,3.0
71.0,88.0,11.0,67.0,1399.0,-4.1,1.0,3.0
60.0,66.0,10.0,65.0,1399.0,-4.6,1.5,3.0
65.0,53.0,11.0,60.0,1200.0,-4.7,0.5,3.0
49.0,53.0,12.0,57.0,1200.0,-3.9,2.4,2.0
72.0,77.0,12.0,67.0,1500.0,-4.0,1.9,3.0
73.0,75.0,10.0,64.0,1600.0,-4.2,2.2,3.0
69.0,77.0,10.0,55.0,1399.0,-4.1,2.1,3.0
72.0,81.0,11.0,54.0,1500.0,-4.2,2.3,3.0
84.0,95.0,22.0,57.0,1500.0,-4.1,1.5,3.0
101.0,117.0,57.0,61.0,1600.0,-3.9,1.7,3.0
111.0,112.0,67.0,66.0,1600.0,-3.6,1.2,3.0
97.0,125.0,61.0,77.0,1700.0,-3.7,3.4,3.0
104.0,117.0,65.0,78.0,1399.0,-3.8,3.3,3.0
108.0,115.0,111.0,60.0,900.0,-4.5,3.8,3.0
105.0,112.0,116.0,56.0,1000.0,-4.3,3.2,3.0
105.0,115.0,112.0,60.0,1000.0,-3.9,3.1,3.0
106.0,126.0,113.0,66.0,1000.0,-3.6,3.5,3.0
115.0,136.0,99.0,74.0,1100.0,-2.9,1.6,3.0
119.0,137.0,74.0,78.0,1100.0,-2.7,1.3,3.0
115.0,118.0,74.0,97.0,1200.0,-2.0,1.3,3.0
119.0,130.0,61.0,102.0,1399.0,-1.9,0.6,3.0
140.0,158.0,54.0,100.0,1600.0,-1.8,0.0,4.0
162.0,179.0,54.0,97.0,1700.0,-1.8,1.1,4.0
165.0,176.0,46.0,91.0,1700.0,-2.2,1.2,4.0
180.0,211.0,42.0,80.0,2700.0,-2.5,1.8,4.0
183.0,218.0,44.0,85.0,2700.0,-2.9,1.1,4.0
182.0,200.0,42.0,87.0,2500.0,-2.8,1.6,4.0
173.0,189.0,36.0,82.0,2399.0,-2.6,0.8,4.0
166.0,177.0,33.0,80.0,2200.0,-2.5,1.2,4.0
163.0,170.0,37.0,79.0,2100.0,-2.5,1.2,4.0
137.0,156.0,43.0,75.0,1899.0,-2.3,1.0,4.0
164.0,174.0,71.0,70.0,2100.0,-2.2,1.4,4.0
172.0,185.0,117.0,75.0,2200.0,-2.5,1.4,4.0
173.0,186.0,118.0,75.0,2000.0,-2.0,1.6,4.0
3.0,3.0,130.0,76.0,1600.0,-2.0,1.4,1.0
110.0,331.0,125.0,91.0,1700.0,-2.1,1.6,3.0
227.0,261.0,118.0,96.0,1700.0,-1.2,1.5,5.0
236.0,279.0,107.0,112.0,1899.0,-0.7,2.7,5.0
256.0,305.0,102.0,147.0,2299.0,-0.3,2.0,5.0
287.0,343.0,100.0,150.0,2100.0,0.3,3.4,5.0
278.0,320.0,91.0,113.0,1700.0,0.9,1.8,5.0
269.0,319.0,79.0,96.0,1700.0,1.5,1.0,5.0
286.0,324.0,68.0,104.0,1800.0,1.3,1.1,5.0
304.0,343.0,64.0,126.0,2000.0,1.4,0.0,5.0
312.0,348.0,61.0,132.0,2100.0,0.7,0.8,5.0
316.0,367.0,63.0,126.0,2500.0,0.9,1.0,5.0
353.0,430.0,77.0,138.0,3200.0,0.7,1.5,5.0
355.0,411.0,63.0,118.0,3299.0,0.6,1.1,5.0
328.0,357.0,49.0,111.0,2700.0,0.2,1.7,5.0
308.0,330.0,49.0,113.0,2399.0,0.2,1.5,5.0
304.0,332.0,55.0,108.0,2399.0,0.4,1.0,5.0
314.0,316.0,51.0,108.0,2000.0,0.6,1.3,5.0
276.0,300.0,47.0,91.0,1800.0,0.3,1.6,5.0
276.0,293.0,50.0,87.0,1800.0,0.4,1.3,5.0
275.0,297.0,38.0,84.0,2100.0,0.5,0.2,5.0
278.0,294.0,44.0,82.0,2200.0,1.3,1.1,5.0
272.0,289.0,112.0,87.0,2100.0,0.7,1.3,5.0
264.0,273.0,138.0,90.0,1899.0,0.0,2.8,5.0
270.0,243.0,109.0,88.0,1800.0,-0.2,1.8,5.0
227.0,207.0,88.0,84.0,1899.0,-0.9,2.2,5.0
183.0,189.0,86.0,70.0,1899.0,-0.4,2.5,4.0
166.0,169.0,76.0,61.0,1700.0,0.3,2.1,4.0
150.0,167.0,71.0,62.0,1700.0,1.2,2.0,4.0
165.0,212.0,80.0,78.0,2299.0,1.5,1.9,4.0
185.0,204.0,85.0,81.0,2700.0,1.7,2.1,4.0
216.0,217.0,83.0,90.0,2899.0,2.2,2.4,4.0
188.0,217.0,75.0,101.0,2600.0,2.6,1.2,4.0
197.0,223.0,61.0,85.0,2200.0,2.1,1.6,4.0
228.0,242.0,56.0,90.0,2100.0,1.8,2.7,5.0
242.0,204.0,59.0,108.0,2100.0,2.1,1.8,5.0
210.0,204.0,58.0,92.0,1800.0,2.0,1.5,4.0
166.0,192.0,50.0,86.0,1500.0,2.1,1.5,4.0
162.0,194.0,48.0,90.0,1700.0,1.8,1.3,4.0
176.0,211.0,45.0,95.0,2100.0,2.2,1.0,4.0
217.0,219.0,43.0,98.0,2500.0,2.3,1.4,4.0
183.0,195.0,46.0,86.0,2299.0,2.2,0.6,4.0
180.0,188.0,50.0,71.0,2000.0,2.5,0.7,4.0
184.0,223.0,44.0,85.0,2200.0,1.9,0.6,4.0
206.0,210.0,40.0,83.0,2200.0,2.1,0.6,4.0
206.0,237.0,39.0,80.0,2700.0,2.1,0.6,4.0
257.0,259.0,84.0,92.0,2899.0,2.4,0.7,5.0
267.0,283.0,119.0,104.0,3100.0,2.7,0.8,5.0
293.0,321.0,124.0,126.0,3399.0,3.0,1.4,5.0
322.0,326.0,126.0,146.0,3000.0,2.9,1.2,5.0
294.0,347.0,120.0,142.0,2799.0,3.2,2.1,5.0
332.0,372.0,116.0,124.0,2700.0,3.7,1.5,5.0
352.0,392.0,113.0,116.0,2600.0,3.9,1.8,5.0
362.0,383.0,94.0,106.0,2299.0,4.0,0.9,5.0
356.0,369.0,92.0,98.0,2200.0,4.9,0.9,5.0
344.0,367.0,80.0,105.0,2200.0,4.5,0.9,5.0
357.0,395.0,64.0,136.0,2500.0,4.7,0.0,5.0
364.0,390.0,50.0,166.0,2799.0,4.7,1.7,5.0
392.0,442.0,61.0,167.0,2899.0,3.9,1.9,5.0
423.0,462.0,64.0,174.0,3299.0,4.1,1.5,5.0
434.0,455.0,56.0,157.0,3500.0,3.7,1.9,5.0
450.0,494.0,48.0,156.0,4099.0,2.8,1.8,5.0
463.0,476.0,45.0,154.0,3799.0,-1.1,1.1,5.0
308.0,476.0,57.0,111.0,2100.0,-7.4,2.3,5.0
36.0,122.0,12.0,22.0,300.0,-10.2,4.7,2.0
30.0,153.0,14.0,19.0,400.0,-7.7,3.6,1.0
20.0,112.0,9.0,15.0,300.0,-8.0,4.4,1.0
14.0,185.0,12.0,12.0,300.0,-9.0,3.4,2.0
13.0,68.0,17.0,15.0,400.0,-12.4,6.5,1.0
